PO Requestor WWID,SC Number,PO Number,PO Date,PO Validity End Date,PO Net Amt $,PO Supplier Name,PO Supplier ID
G3660842,548945,6791762816,2021-03-15,2021-03-31,6641,tDwiXMCpOQcGyXy,5711
G6050999,548945,6791762816,2021-03-03,2021-05-03,7042,tyJbeXCGEpGZUeZ,3909
A4072681,548945,6791762816,2021-01-02,2021-02-21,14788,txUUpoPmwxHPknj,4838
G6050999,548945,6791762816,2021-01-08,2021-02-26,1523,OEfGTlgwlBRFaCI,3254
B1605324,548945,6791762816,2021-03-17,2021-04-16,10030,rFUiyaxBpzAIhTG,5001
G8733259,548945,6791762816,2021-03-08,2021-05-03,4316,JyuxAFAVNmjPDkg,6094
G3660842,548945,6791762816,2021-03-23,2021-04-02,3462,FCBdNTriVnNQoLn,8238
B1093048,548945,6791762816,2021-03-10,2021-03-14,7297,aqeIVtssXQSeRjN,9585
A4072681,548945,6791762816,2021-02-02,2021-02-03,9718,TZtVCyYUnVtylrB,9044
G2493226,548945,6791762816,2021-02-18,2021-04-11,10327,TCetNQrTCwDzAzC,7292
G7348164,548945,6791762816,2021-01-17,2021-02-02,5357,AuCSASUiRKXIcok,7027
B4316135,548945,6791762816,2021-01-06,2021-01-10,3176,IHWwtMBzpDYgImo,3532
B8552233,548945,6791762816,2021-01-20,2021-03-14,13348,FNDeqhjUQRFVYXV,9971
B6683279,548945,6791762816,2021-01-04,2021-01-08,13708,vmhKsgMuyGcGKsl,3411
G9546779,548945,6791762816,2021-03-12,2021-04-01,11464,SenCznudJWSdjfx,6662
B3049489,548945,6791762816,2021-03-28,2021-04-28,2591,IYexdDQrwoQPLcg,5322
G5858177,548945,6791762816,2021-03-09,2021-05-07,6307,zESyBeQjMOlzBLy,4035
B4870683,548945,6791762816,2021-03-03,2021-04-23,3827,WryPbSJPfjuPNZr,5366
A4072681,548945,6791762816,2021-03-28,2021-05-28,9277,awdmnPlvYYuaiFX,3756
B4166266,548945,6791762816,2021-02-11,2021-03-14,3236,IprFGfosGYJQvpq,4958
B4166266,548945,6791762816,2021-01-29,2021-03-09,5549,JQtXQdLSuRHZEfg,3315
G2953015,548945,6791762816,2021-01-22,2021-02-24,2457,owAOXuaPgkEQSRm,8161
B6683279,548945,6791762816,2021-03-23,2021-05-16,4420,cYifyMnBDYggsnf,8903
A4072681,548945,6791762816,2021-01-05,2021-02-25,3323,wjNKsyiMbUYGpEb,2753
G9663829,548945,6791762816,2021-02-05,2021-04-19,8242,HgamPnNVqlAFThh,3411
G0294273,548945,6791762816,2021-01-08,2021-02-17,12044,KRhHkfXxZwPpxdy,8484
G7348164,548945,6791762816,2021-02-23,2021-03-11,14772,tmdQCBvcMbQBtAR,5164
G3241853,548945,6791762816,2021-03-27,2021-04-03,6568,EMNCUUcfMLhfIxN,3565
B1605324,548945,6791762816,2021-02-28,2021-04-03,3947,BpwgYIaMCnGYzbR,6483
G4734347,548945,6791762816,2021-01-20,2021-04-11,10735,TuIdTzqmIjJbDYo,8084
A9803288,548945,6791762816,2021-03-24,2021-06-18,8846,ZvfNMPlntXRGrUs,8282
G6050999,548945,6791762816,2021-03-07,2021-06-02,6395,nkspaMWXRDJbCWd,1220
G7348164,548945,6791762816,2021-02-23,2021-05-23,6899,XtYsxNQegmFwKfZ,9131
G9546779,548945,6791762816,2021-02-25,2021-04-24,6633,DynaLWIFyvkHIyz,2487
A4072681,548945,6791762816,2021-02-16,2021-03-16,10755,VcBihosMtoDxTwn,9237
B6683279,548945,6791762816,2021-03-17,2021-06-11,14966,rSuLsHYlYYxwGhG,5468
A9803288,548945,6791762816,2021-02-23,2021-05-24,11505,LXdQAotHHLNFhZj,6730
G6050999,548945,6791762816,2021-02-15,2021-03-05,6894,XfoMPVenvirYeFH,9215
B2339584,548945,6791762816,2021-01-28,2021-04-14,5615,SRNjVIeLalbTsEO,9220
B9867334,548945,6791762816,2021-02-27,2021-03-07,14155,ROUvVFiqbJvJKiI,4390
G9663829,548945,6791762816,2021-01-03,2021-03-27,2985,wOTCZSPXaYFjMXC,2731
G7934854,548945,6791762816,2021-02-21,2021-04-27,9674,PqlgUmkCLLoPzSu,2016
B3111382,548945,6791762816,2021-02-10,2021-04-01,11700,ZeZHfOVIQCTsLjL,6894
G7494913,548945,6791762816,2021-02-06,2021-03-10,2005,NpxWIVZKnrhVzVi,1595
B4166266,548945,6791762816,2021-01-26,2021-03-02,9467,EJXgSuhPhxcOfjL,8940
G8733259,548945,6791762816,2021-02-12,2021-03-05,8640,PwwFZMAqJsLKhyx,3422
G5778210,548945,6791762816,2021-03-27,2021-04-02,8392,mFrQtSAdQECHgSO,2555
A4072681,548945,6791762816,2021-03-17,2021-05-21,9375,pVfJlltRlIpWZVs,3668
B8800376,548945,6791762816,2021-01-15,2021-01-20,14732,lZXVzepRAKWHRkL,5753
B6230669,548945,6791762816,2021-01-07,2021-01-15,6727,JXIGnkRpYihaYtX,3933
B3111382,548945,6791762816,2021-03-18,2021-04-15,4986,pLOBIgZAISBZPJD,5363
B8800376,548945,6791762816,2021-02-02,2021-03-18,11162,zLmwxINUluYywlO,3024
B0325269,548945,6791762816,2021-02-11,2021-03-01,4383,jCszXBdUwGpcard,6144
G0294273,548945,6791762816,2021-02-28,2021-03-03,7140,BgCuVQXcAbmcnij,4074
G7769999,548945,6791762816,2021-02-18,2021-04-25,3546,OGnjTxaVVGyAmGc,1263
G1183762,548945,6791762816,2021-03-22,2021-06-14,3708,fkmEreQjvspruuC,3278
B8552233,548945,6791762816,2021-01-31,2021-03-31,4547,OplmZpYHKihbeCB,5992
B4870683,548945,6791762816,2021-03-21,2021-04-27,11504,lqGZXPfMUSneVNI,1644
G9663829,548945,6791762816,2021-01-30,2021-03-15,14682,lcvjWtnPNGFWqdk,8609
G5778210,548945,6791762816,2021-02-04,2021-04-01,6808,JRUdqTQDTePlRpz,2531
G8733259,548945,6791762816,2021-01-25,2021-01-26,12205,OaBELEhlSYLpMwv,7727
B9539893,548945,6791762816,2021-01-11,2021-01-30,5670,WJivMPgqmFvZgaC,9255
A4255888,548945,6791762816,2021-03-02,2021-04-10,3711,JWEDeLKHqQUSjbs,4717
B3111382,548945,6791762816,2021-02-13,2021-02-14,1755,HiXcJPBuEsBLvGA,4054
B8552233,548945,6791762816,2021-01-05,2021-01-07,9366,JfquJZZPkFXvptv,1350
